CLIENTNUM,Attrition_Flag,DOB_Year,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Credit_Limit,Total_Trans_Ct,Avg_Utilization_Ratio
788658483,Existing Customer,1968,F,2,College,Married,Less than $40K,Blue,38,2,2650,28,0.562
787937058,Existing Customer,1963,M,0,Graduate,Married,$80K - $120K,Blue,49,2,12555,24,0.135
715318008,Existing Customer,1966,F,1,College,Single,Less than $40K,Blue,36,2,3520,43,0.544
713962233,Existing Customer,1966,F,3,Graduate,Married,Less than $40K,Blue,36,2,3035,37,0.757
785432733,Existing Customer,1979,F,4,High School,Married,Less than $40K,Gold,36,3,15433,22,0
715190283,Existing Customer,1964,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3672,28,0.241
708300483,Attrited Customer,1955,F,0,Doctorate,Married,Unknown,Blue,56,4,7882,16,0.077
827111283,Existing Customer,1976,M,3,Graduate,Single,$80K - $120K,Blue,41,2,32426,28,0.018
758551608,Existing Customer,1970,M,2,Unknown,Married,$40K - $60K,Blue,44,1,6205,28,0.355
773146383,Existing Customer,1971,F,1,College,Single,$40K - $60K,Silver,43,2,17304,33,0.145
778493808,Existing Customer,1972,M,3,High School,Married,$60K - $80K,Blue,37,2,3906,32,0
720572508,Existing Customer,1983,F,4,Graduate,Single,Unknown,Blue,28,3,9830,23,0.209
712661433,Existing Customer,1972,M,4,Uneducated,Single,$80K - $120K,Blue,30,2,34516,28,0
789172683,Existing Customer,1965,M,2,Doctorate,Married,$60K - $80K,Blue,45,2,2283,27,0.626
738406533,Existing Customer,1962,M,1,Doctorate,Married,$40K - $60K,Blue,52,2,2548,27,0.793
799723908,Existing Customer,1975,M,3,High School,Married,$80K - $120K,Blue,40,3,19458,27,0.074
771490833,Existing Customer,1969,M,1,College,Single,$80K - $120K,Blue,40,1,4745,40,0.259
720756708,Existing Customer,1969,F,3,Unknown,Married,Less than $40K,Blue,41,3,2622,30,0.591
779471883,Attrited Customer,1967,F,1,Graduate,Married,Less than $40K,Blue,40,3,1438.3,19,0.562
711525033,Existing Customer,1955,F,0,High School,Married,Less than $40K,Blue,54,4,3171,38,0.687
712813458,Existing Customer,1972,M,2,Unknown,Married,$120K +,Blue,36,2,19763,35,0.127
714374133,Attrited Customer,1965,M,2,Graduate,Married,$120K +,Blue,36,3,15769,15,0
717891558,Existing Customer,1972,F,4,Graduate,Unknown,Less than $40K,Blue,36,4,3298,32,0.667
716632758,Existing Customer,1972,F,3,Graduate,Single,Less than $40K,Blue,36,2,2802,40,0.843
768563658,Existing Customer,1965,M,2,Uneducated,Married,$40K - $60K,Blue,50,2,4458,29,0.422
711427458,Existing Customer,1977,F,5,Graduate,Married,Unknown,Blue,35,1,6273,25,0.156
714091983,Existing Customer,1979,M,2,High School,Single,$60K - $80K,Blue,34,4,3336,27,0.525
787584108,Existing Customer,1966,M,3,Unknown,Married,$80K - $120K,Blue,47,2,3436,33,0.587
712030833,Attrited Customer,1973,M,2,Graduate,Married,$60K - $80K,Silver,35,4,34516,15,0
711481533,Existing Customer,1982,M,1,High School,Divorced,$60K - $80K,Blue,33,3,5926,28,0.211
710082708,Existing Customer,1977,M,4,Post-Graduate,Single,$120K +,Blue,32,4,23957,26,0.088
708155733,Existing Customer,1968,M,2,High School,Single,$120K +,Blue,44,2,14734,23,0.111
788979258,Existing Customer,1970,M,4,Uneducated,Single,$80K - $120K,Silver,38,1,34516,32,0.044
807986133,Existing Customer,1964,M,2,College,Married,$60K - $80K,Blue,52,3,6584,35,0.276
788730933,Existing Customer,1977,F,2,Uneducated,Single,Less than $40K,Blue,20,3,2084,28,0.704
711314058,Existing Customer,1972,M,2,Graduate,Married,$60K - $80K,Blue,32,2,1687,17,0.656
717975333,Existing Customer,1971,M,2,Doctorate,Married,$80K - $120K,Blue,38,2,25300,15,0.053
715971108,Existing Customer,1970,M,4,Graduate,Single,$120K +,Blue,42,2,34516,41,0.051
720096558,Existing Customer,1966,F,2,Graduate,Married,Less than $40K,Blue,42,3,2216,36,0.467
719580033,Existing Customer,1967,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2,2910,21,0.698
820582308,Existing Customer,1979,M,5,Uneducated,Married,$80K - $120K,Blue,37,2,22913,35,0.067
789973308,Existing Customer,1977,M,1,College,Single,$60K - $80K,Blue,35,3,24312,24,0.079
712876233,Existing Customer,1968,M,2,Graduate,Single,$80K - $120K,Blue,36,3,5272,33,0.287
804595158,Existing Customer,1977,F,4,Graduate,Single,Less than $40K,Blue,36,4,7000,23,0.36
714826758,Existing Customer,1984,F,3,Uneducated,Single,Less than $40K,Blue,29,4,7038,57,0.256
779058108,Existing Customer,1972,M,3,Graduate,Divorced,$60K - $80K,Blue,30,1,2536,23,0.719
710790258,Existing Customer,1974,M,2,Graduate,Married,$80K - $120K,Blue,38,3,28904,35,0.066
715623483,Existing Customer,1974,M,3,Graduate,Married,$60K - $80K,Blue,37,4,8567,41,0.198
715156383,Existing Customer,1977,M,1,Unknown,Unknown,$120K +,Blue,36,2,34516,29,0.044
711013983,Attrited Customer,1966,F,4,Unknown,Married,$40K - $60K,Blue,45,4,2158,12,0
755420433,Existing Customer,1962,F,1,Graduate,Married,Unknown,Blue,52,3,10133,20,0.14
794543958,Existing Customer,1968,M,1,Graduate,Divorced,$80K - $120K,Blue,35,4,34516,27,0.035
716396358,Existing Customer,1969,M,2,Graduate,Married,$60K - $80K,Blue,47,3,3085,35,0.619
715398033,Existing Customer,1968,M,2,High School,Single,$120K +,Blue,35,2,19040,31,0.108
711743883,Existing Customer,1978,F,3,Uneducated,Single,Less than $40K,Blue,35,2,4026,32,0
719720058,Existing Customer,1977,M,3,High School,Single,$60K - $80K,Blue,31,3,12756,14,0.066
778992108,Existing Customer,1964,M,2,Unknown,Married,$120K +,Blue,45,3,5266,29,0
717539808,Existing Customer,1970,F,2,High School,Single,Less than $40K,Blue,36,2,9930,21,0
714070758,Existing Customer,1972,M,4,High School,Single,$80K - $120K,Blue,38,3,31302,35,0.062
714107958,Existing Customer,1976,M,1,Graduate,Single,$40K - $60K,Blue,36,4,6576,34,0
789140283,Existing Customer,1968,M,0,Graduate,Single,$80K - $120K,Blue,42,4,2664,29,0.765
715550508,Existing Customer,1976,F,3,Unknown,Married,Unknown,Blue,28,1,2535,20,0.963
719712633,Existing Customer,1957,M,1,Graduate,Married,Less than $40K,Blue,52,4,1709,32,0.524
772629333,Existing Customer,1976,M,3,Graduate,Married,$40K - $60K,Blue,35,4,3454,30,0.347
720336708,Existing Customer,1968,M,3,Doctorate,Married,$40K - $60K,Blue,35,3,3789,42,0.45
802013583,Existing Customer,1965,M,3,College,Married,$120K +,Blue,50,2,9689,19,0.232
711887583,Attrited Customer,1974,M,2,Unknown,Married,$80K - $120K,Blue,37,3,5449,18,0.299
714778833,Existing Customer,1972,F,3,College,Single,Unknown,Blue,43,4,23032,22,0.085
713843283,Existing Customer,1980,F,3,Unknown,Married,Unknown,Silver,34,3,34516,26,0.059
779155158,Existing Customer,1968,M,3,Graduate,Married,$120K +,Blue,34,2,2940,33,0.43
721091583,Existing Customer,1977,F,2,Graduate,Single,Less than $40K,Blue,32,3,3031,15,0.62
713572683,Existing Customer,1977,M,3,High School,Unknown,$60K - $80K,Blue,25,3,1862,34,0
716657058,Existing Customer,1978,F,4,Post-Graduate,Married,Less than $40K,Blue,33,3,8358,37,0.111
779509983,Existing Customer,1968,M,2,Post-Graduate,Single,$120K +,Blue,36,1,34516,21,0.027
717929133,Existing Customer,1977,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,14450,30,0.169
808284783,Existing Customer,1959,F,1,Unknown,Married,Less than $40K,Blue,56,0,1438.3,44,0
708476808,Existing Customer,1967,M,4,Unknown,Divorced,$120K +,Blue,36,3,33791,31,0.058
710916408,Existing Customer,1964,M,4,Graduate,Married,$60K - $80K,Blue,39,3,8466,32,0.223
708492558,Existing Customer,1979,M,3,Unknown,Married,$60K - $80K,Blue,36,3,15088,21,0.057
799825758,Existing Customer,1979,M,4,High School,Divorced,$60K - $80K,Blue,36,1,3263,35,0.513
718619883,Existing Customer,1967,F,0,Uneducated,Married,Less than $40K,Blue,36,2,1494,24,0.473
711844758,Existing Customer,1973,M,3,Graduate,Single,$80K - $120K,Blue,35,1,13551,37,0.095
714798783,Existing Customer,1972,M,1,Graduate,Single,$80K - $120K,Blue,36,2,18886,18,0.047
826762908,Existing Customer,1969,M,3,High School,Unknown,$80K - $120K,Blue,48,2,11976,36,0.106
771894558,Existing Customer,1971,M,3,High School,Single,$80K - $120K,Blue,39,1,9964,25,0.156
721074183,Existing Customer,1972,M,1,Doctorate,Married,$60K - $80K,Blue,36,6,24159,24,0.05
715259583,Existing Customer,1968,F,2,High School,Married,Less than $40K,Blue,44,2,5362,38,0.355
718414008,Existing Customer,1971,M,2,Graduate,Single,$120K +,Blue,36,2,34516,13,0.03
719666283,Existing Customer,1966,F,1,Doctorate,Married,Less than $40K,Blue,36,1,3174,29,0.615
714877233,Existing Customer,1968,M,1,High School,Married,$80K - $120K,Blue,47,2,12262,38,0.15
785387883,Existing Customer,1974,F,3,High School,Single,$40K - $60K,Blue,41,3,3788,47,0.407
771075258,Existing Customer,1966,M,2,College,Single,$120K +,Silver,42,3,34516,42,0.044
711318033,Existing Customer,1974,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2926,24,0
783554958,Existing Customer,1963,M,4,Graduate,Single,$120K +,Blue,52,1,32090,30,0
720201033,Attrited Customer,1968,M,2,Graduate,Married,$80K - $120K,Blue,41,3,11669,23,0.191
718039683,Existing Customer,1969,M,2,High School,Single,$40K - $60K,Blue,45,1,13532,29,0.096
710806083,Existing Customer,1971,F,1,Uneducated,Unknown,Less than $40K,Silver,36,2,11888,30,0.176
714752208,Existing Customer,1979,F,1,Graduate,Married,Less than $40K,Blue,36,1,2393,16,0.83
822063408,Existing Customer,1978,M,4,Unknown,Married,$40K - $60K,Blue,39,1,6111,16,0.412
714490308,Existing Customer,1964,M,4,Graduate,Married,$80K - $120K,Blue,46,2,19270,28,0.086
713356833,Existing Customer,1969,M,1,Graduate,Married,$80K - $120K,Blue,43,1,3710,34,0.678
711402333,Existing Customer,1974,M,2,Doctorate,Single,Less than $40K,Blue,37,1,3235,32,0.246
708296883,Existing Customer,1977,F,3,Graduate,Single,$40K - $60K,Blue,38,1,11749,27,0.067
719154483,Existing Customer,1968,M,2,High School,Divorced,$60K - $80K,Blue,36,3,7753,26,0.271
717721458,Existing Customer,1976,M,4,College,Divorced,$60K - $80K,Blue,40,1,10408,42,0.114
711112683,Existing Customer,1958,F,1,College,Married,Unknown,Blue,36,2,3967,29,0.395
715674483,Existing Customer,1982,F,2,Post-Graduate,Single,Less than $40K,Blue,27,2,6205,19,0.406
789322833,Attrited Customer,1973,F,5,High School,Married,Less than $40K,Blue,38,3,8025,18,0
789968058,Existing Customer,1970,M,1,Unknown,Single,$120K +,Blue,42,2,9036,18,0.258
709919283,Existing Customer,1967,M,4,Graduate,Married,$80K - $120K,Blue,34,3,14926,25,0.169
718744008,Existing Customer,1962,F,1,Graduate,Single,Less than $40K,Blue,36,2,6335,20,0.178
767712558,Attrited Customer,1962,M,1,College,Single,$60K - $80K,Blue,53,3,14979,10,0
712950783,Attrited Customer,1973,F,4,Uneducated,Married,Less than $40K,Blue,38,2,2732,16,0
716104983,Existing Customer,1980,F,2,Graduate,Single,Less than $40K,Blue,32,3,2250,31,0.941
818839983,Existing Customer,1966,M,2,Graduate,Married,$120K +,Blue,50,2,10916,34,0.141
772288758,Existing Customer,1974,F,4,Graduate,Married,Unknown,Blue,36,1,5349,30,0.23
712350858,Existing Customer,1980,M,2,High School,Married,$80K - $120K,Blue,24,1,9366,39,0.118
711009708,Existing Customer,1981,M,3,High School,Single,$80K - $120K,Blue,28,1,21617,22,0
712720158,Existing Customer,1953,M,1,Graduate,Married,Unknown,Blue,56,2,13860,32,0.119
712215258,Existing Customer,1971,F,1,Graduate,Single,$40K - $60K,Silver,31,2,18386,22,0
773827008,Existing Customer,1974,M,4,Uneducated,Single,$60K - $80K,Blue,41,2,2405,29,0.64
795232683,Existing Customer,1968,F,1,College,Married,Less than $40K,Blue,47,2,2154,26,0.432
713786508,Existing Customer,1979,F,5,Unknown,Married,$40K - $60K,Blue,36,3,2038,28,0
713539833,Existing Customer,1973,F,4,High School,Single,$40K - $60K,Blue,38,1,8135,29,0
712454058,Existing Customer,1972,M,1,Doctorate,Married,$120K +,Blue,38,1,9364,27,0.066
718759833,Existing Customer,1977,F,2,Uneducated,Married,Unknown,Silver,35,3,32643,24,0
718803333,Existing Customer,1978,F,4,Graduate,Divorced,Less than $40K,Blue,34,3,3195,29,0.612
720253908,Existing Customer,1965,M,0,High School,Married,$80K - $120K,Blue,43,2,2852,28,0.359
714133158,Existing Customer,1962,F,1,College,Single,Unknown,Blue,36,3,4224,31,0.309
713187033,Existing Customer,1975,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,20459,38,0.101
714791208,Existing Customer,1974,F,4,Unknown,Divorced,Less than $40K,Blue,41,5,3482,24,0.607
772426383,Existing Customer,1971,F,4,Uneducated,Married,$40K - $60K,Blue,40,2,3065,28,0.512
710975883,Existing Customer,1970,F,3,Uneducated,Married,Less than $40K,Blue,43,1,2185,30,0.806
714264408,Existing Customer,1974,F,3,Uneducated,Married,Less than $40K,Blue,36,1,1611,29,0.463
715827858,Existing Customer,1963,F,4,Uneducated,Married,Less than $40K,Blue,47,3,2822,23,0.77
713741358,Attrited Customer,1975,M,5,Graduate,Single,$80K - $120K,Blue,33,3,32975,17,0.076
709531908,Existing Customer,1968,M,3,High School,Married,$60K - $80K,Blue,47,2,1438.3,53,0
716493408,Existing Customer,1976,F,4,Uneducated,Divorced,Unknown,Blue,36,3,15875,37,0.108
714141108,Existing Customer,1969,F,1,High School,Married,Less than $40K,Blue,45,3,6703,28,0.133
708953883,Attrited Customer,1968,M,2,Unknown,Married,$80K - $120K,Blue,36,2,3212,20,0
712608783,Existing Customer,1971,M,2,High School,Married,$80K - $120K,Silver,45,1,34516,34,0.037
820353558,Existing Customer,1980,F,3,High School,Married,$40K - $60K,Blue,36,1,9797,34,0.146
714964758,Existing Customer,1976,F,5,Graduate,Divorced,$40K - $60K,Blue,36,2,10400,28,0.171
716264358,Existing Customer,1968,M,3,Uneducated,Married,$80K - $120K,Blue,42,1,26792,47,0.069
717296808,Existing Customer,1954,F,1,Graduate,Married,Less than $40K,Blue,56,3,3006,32,0.837
712977183,Existing Customer,1964,F,2,Uneducated,Single,$40K - $60K,Silver,36,3,19482,22,0.055
710829108,Existing Customer,1962,F,1,Uneducated,Married,$40K - $60K,Blue,36,2,3356,28,0.294
779562633,Existing Customer,1976,M,2,Uneducated,Married,$40K - $60K,Blue,34,2,5771,18,0.39
715315833,Existing Customer,1970,M,3,Graduate,Married,$80K - $120K,Blue,36,2,11106,24,0.19
815500983,Existing Customer,1962,F,1,Uneducated,Married,Less than $40K,Blue,54,3,2890,36,0.692
719360583,Existing Customer,1968,M,1,Graduate,Married,$60K - $80K,Blue,45,2,3380,25,0.503
709701558,Existing Customer,1974,M,3,Graduate,Married,$60K - $80K,Blue,36,1,21331,50,0.059
721148358,Existing Customer,1972,F,3,Uneducated,Single,Unknown,Blue,38,2,12860,27,0
779862408,Existing Customer,1972,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,1,6278,33,0.074
812627208,Existing Customer,1961,F,0,College,Single,Less than $40K,Blue,55,1,1438.3,33,0.513
711033408,Existing Customer,1971,F,2,High School,Married,Less than $40K,Blue,36,1,9355,28,0.174
779956608,Existing Customer,1980,F,2,Post-Graduate,Married,Unknown,Blue,31,1,20758,32,0
780376683,Existing Customer,1964,M,1,Graduate,Married,$80K - $120K,Blue,47,3,14612,24,0.135
717912483,Existing Customer,1978,M,4,Graduate,Unknown,$80K - $120K,Blue,27,2,27259,35,0
714454758,Existing Customer,1964,F,3,Graduate,Married,Less than $40K,Blue,47,2,6347,37,0.251
780466533,Existing Customer,1967,M,3,Doctorate,Married,$120K +,Blue,41,3,21592,52,0.078
715735233,Existing Customer,1970,F,5,Post-Graduate,Married,Less than $40K,Blue,44,1,3449,42,0.463
720476733,Existing Customer,1974,F,3,High School,Married,Less than $40K,Blue,34,1,6028,22,0.133
715872333,Existing Customer,1980,M,0,High School,Unknown,$120K +,Blue,36,2,18214,21,0.11
712375758,Existing Customer,1968,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,16393,42,0.087
708868233,Attrited Customer,1953,M,0,High School,Married,Less than $40K,Blue,52,3,1438.3,21,0.626
718030083,Existing Customer,1962,M,1,College,Married,$60K - $80K,Blue,36,1,7871,22,0.214
720707283,Existing Customer,1973,M,4,Unknown,Married,$80K - $120K,Blue,36,3,5288,42,0.164
771698658,Existing Customer,1977,M,5,Graduate,Married,$60K - $80K,Blue,32,5,11376,27,0.176
748326258,Existing Customer,1973,M,3,College,Married,$80K - $120K,Blue,41,5,12302,41,0.133
770817783,Existing Customer,1974,M,4,Graduate,Married,$60K - $80K,Silver,33,2,34516,27,0.049
779353083,Existing Customer,1974,M,2,Graduate,Married,$60K - $80K,Silver,32,2,34516,32,0.043
711441333,Existing Customer,1978,F,1,High School,Divorced,Less than $40K,Silver,35,2,10514,27,0.15
719808558,Attrited Customer,1966,F,2,Graduate,Married,Less than $40K,Blue,43,4,1438.3,27,0
711551958,Attrited Customer,1962,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,1438.3,24,0
809164083,Existing Customer,1958,M,1,Graduate,Married,$40K - $60K,Blue,56,1,2619,37,0.679
820596183,Existing Customer,1963,M,2,College,Married,$120K +,Blue,53,3,24407,48,0.098
715999608,Existing Customer,1968,F,2,High School,Married,Less than $40K,Blue,36,1,2377,26,0.694
710565408,Existing Customer,1962,M,0,Unknown,Unknown,$80K - $120K,Silver,40,2,34516,26,0.039
805543158,Existing Customer,1969,M,3,Graduate,Married,$120K +,Blue,47,3,11086,40,0.199
709752183,Existing Customer,1973,M,3,High School,Single,$60K - $80K,Blue,36,2,11432,37,0.22
716479233,Existing Customer,1978,M,4,High School,Married,$40K - $60K,Blue,36,3,13258,21,0.13
713837058,Existing Customer,1973,M,2,College,Single,Less than $40K,Blue,36,2,2571,24,0.76
718876683,Existing Customer,1978,F,4,Graduate,Single,Less than $40K,Blue,31,2,5781,32,0.202
770746908,Existing Customer,1977,M,4,Unknown,Married,$60K - $80K,Blue,30,1,7872,32,0.319
794843883,Existing Customer,1980,M,3,High School,Married,$80K - $120K,Blue,35,1,34516,33,0.035
803043933,Existing Customer,1977,F,3,Uneducated,Divorced,Less than $40K,Silver,38,1,11127,25,0.165
758076408,Existing Customer,1971,M,2,Unknown,Single,$40K - $60K,Blue,43,1,1857,43,0.863
714606558,Existing Customer,1961,F,1,Uneducated,Married,Less than $40K,Blue,36,1,1913,22,0.665
778425408,Existing Customer,1977,M,4,Graduate,Single,$80K - $120K,Blue,24,3,3839,24,0.598
714171108,Existing Customer,1973,F,3,Graduate,Divorced,$40K - $60K,Blue,39,2,2115,20,0.539
719662458,Existing Customer,1977,F,2,Graduate,Divorced,Less than $40K,Blue,27,2,1438.3,29,0.472
713137233,Existing Customer,1980,M,2,High School,Single,$80K - $120K,Blue,28,3,27756,24,0.064
769425858,Existing Customer,1976,M,3,College,Single,$60K - $80K,Blue,32,1,1438.3,26,0
711297483,Existing Customer,1974,F,2,Uneducated,Divorced,Less than $40K,Silver,34,4,13878,38,0.16
788900883,Existing Customer,1970,F,2,Graduate,Married,Less than $40K,Blue,36,1,3106,38,0.42
758348808,Existing Customer,1970,M,2,Graduate,Married,$120K +,Blue,44,3,34516,18,0.048
772336458,Attrited Customer,1961,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,1438.3,12,0.713
708711483,Existing Customer,1964,M,2,Unknown,Married,$80K - $120K,Blue,46,3,18871,21,0.092
717906783,Existing Customer,1980,M,5,Graduate,Single,$120K +,Blue,29,2,5207,26,0.336
719437908,Existing Customer,1977,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,2,17965,50,0.092
769433508,Existing Customer,1978,M,1,College,Single,$60K - $80K,Blue,37,3,2733,25,0.666
790096533,Existing Customer,1966,M,2,College,Married,$60K - $80K,Blue,48,3,8863,27,0.147
720997383,Attrited Customer,1969,M,1,Uneducated,Married,$80K - $120K,Blue,36,3,1857,17,0.987
787541883,Existing Customer,1977,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,34516,27,0
709930758,Existing Customer,1980,M,2,Uneducated,Married,$40K - $60K,Blue,30,3,11107,33,0.11
789830058,Existing Customer,1977,M,4,Unknown,Single,$80K - $120K,Blue,34,1,21573,36,0.073
710299608,Attrited Customer,1968,F,2,Unknown,Married,Less than $40K,Blue,33,3,2859,30,0.88
710741208,Existing Customer,1982,M,2,High School,Single,$80K - $120K,Blue,36,2,5269,25,0.28
821797008,Attrited Customer,1972,M,5,College,Married,$40K - $60K,Blue,45,2,1438.3,21,0
708874533,Attrited Customer,1976,F,2,College,Married,Less than $40K,Blue,36,3,3387,24,0
715341858,Existing Customer,1967,M,2,Graduate,Married,$80K - $120K,Blue,46,2,1982,49,0.65
793636308,Existing Customer,1972,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,4645,33,0.355
713779908,Existing Customer,1975,F,3,Doctorate,Single,Unknown,Blue,36,3,2189,36,0.761
712125258,Attrited Customer,1975,M,4,High School,Married,$120K +,Blue,30,3,2442,19,0
709703433,Existing Customer,1974,M,3,Graduate,Married,$60K - $80K,Blue,38,1,21304,25,0.072
721022433,Existing Customer,1977,M,2,Doctorate,Single,$60K - $80K,Blue,36,1,7577,35,0.327
710103558,Existing Customer,1971,M,3,Post-Graduate,Single,$120K +,Blue,31,1,3234,28,0.459
715952883,Existing Customer,1948,M,0,High School,Married,$40K - $60K,Blue,36,3,4469,34,0.252
719731458,Existing Customer,1965,M,3,Unknown,Unknown,$40K - $60K,Blue,46,3,2910,27,0.244
772390908,Attrited Customer,1962,M,0,High School,Single,$40K - $60K,Blue,48,4,3616,17,0.291
787348608,Existing Customer,1951,M,0,High School,Married,Less than $40K,Blue,56,2,3252,15,0.46
709485033,Existing Customer,1966,F,2,High School,Married,Less than $40K,Blue,36,3,2358,26,0.489
715432608,Existing Customer,1978,M,4,Unknown,Single,$60K - $80K,Blue,36,1,22322,34,0.043
799471833,Existing Customer,1976,M,1,Uneducated,Single,$120K +,Blue,39,2,3133,38,0.482
714187533,Existing Customer,1976,F,2,Uneducated,Single,$40K - $60K,Blue,35,3,3540,28,0.24
779656908,Existing Customer,1981,M,1,Graduate,Married,$40K - $60K,Blue,23,3,6990,29,0.197
788950158,Existing Customer,1985,M,2,College,Unknown,$80K - $120K,Blue,22,2,34516,39,0.048
778867533,Attrited Customer,1962,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,4,1438.3,23,0
710620383,Existing Customer,1978,M,4,Unknown,Married,$60K - $80K,Blue,35,3,24396,17,0.048
778661358,Existing Customer,1975,F,1,Unknown,Married,Less than $40K,Blue,36,3,2474,40,0.866
789483333,Existing Customer,1980,M,2,Uneducated,Married,$40K - $60K,Blue,32,1,5214,23,0.152
809855808,Existing Customer,1970,F,2,Graduate,Married,Less than $40K,Blue,46,2,5207,20,0.317
718464258,Existing Customer,1970,F,3,Unknown,Unknown,Less than $40K,Blue,25,2,9512,22,0.114
708528483,Existing Customer,1978,F,4,Graduate,Divorced,Unknown,Blue,23,3,3187,33,0.762
771809733,Attrited Customer,1957,F,0,High School,Married,$40K - $60K,Blue,53,3,3353,18,0
719942883,Existing Customer,1967,M,5,Graduate,Married,$60K - $80K,Blue,38,3,2290,18,0.626
807226683,Existing Customer,1973,M,3,Unknown,Single,$40K - $60K,Blue,43,1,5279,41,0.211
717806133,Existing Customer,1981,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,3,23603,31,0
720615708,Existing Customer,1964,M,0,Uneducated,Married,$40K - $60K,Blue,45,2,2601,32,0
714511758,Existing Customer,1976,M,4,Graduate,Single,$80K - $120K,Blue,40,3,6363,16,0.162
715050408,Existing Customer,1980,M,3,High School,Single,$80K - $120K,Blue,36,3,8029,32,0.196
